breathe	breathes	breathing	breathed
respire	respires	respiring	respired
suspire	suspires	suspiring	suspired
choke	chokes	choking	choked
hyperventilate	hyperventilates	hyperventilating	hyperventilated
aspirate	aspirates	aspirating	aspirated
burp	burps	burping	burped
bubble	bubbles	bubbling	bubbled
belch	belches	belching	belched
eruct	eructs	eructing	eructed
hiccup	hiccups	hiccuping	hiccuped
hiccough	hiccoughs	hiccoughing	hiccoughed
sigh	sighs	sighing	sighed
exhale	exhales	exhaling	exhaled
expire	expires	expiring	expired
hold	holds	holding	held
emanate	emanates	emanating	emanated
sneeze	sneezes	sneezing	sneezed
inhale	inhales	inhaling	inhaled
inspire	inspires	inspiring	inspired
pant	pants	panting	panted
puff	puffs	puffing	puffed
gasp	gasps	gasping	gasped
heave	heaves	heaving	hove
cough	coughs	coughing	coughed
hack	hacks	hacking	hacked
whoop	whoops	whooping	whooped
expectorate	expectorates	expectorating	expectorated
snort	snorts	snorting	snorted
wheeze	wheezes	wheezing	wheezed
huff	huffs	huffing	huffed
chuff	chuffs	chuffing	chuffed
blow	blows	blowing	blew	blown
insufflate	insufflates	insufflating	insufflated
yawn	yawns	yawning	yawned
sniff	sniffs	sniffing	sniffed
sniffle	sniffles	sniffling	sniffled
blink	blinks	blinking	blinked
wink	winks	winking	winked
nictitate	nictitates	nictitating	nictitated
nictate	nictates	nictating	nictated
palpebrate	palpebrates	palpebrating	palpebrated
bat	bats	batting	batted
flutter	flutters	fluttering	fluttered
squint	squints	squinting	squinted
squinch	squinches	squinching	squinched
wince	winces	wincing	winced
shed	sheds	shedding	sheds
molt	molts	molting	molted
exuviate	exuviates	exuviating	exuviated
moult	moults	moulting	moulted
slough	sloughs	sloughing	sloughed
desquamate	desquamates	desquamating	desquamated
twitch	twitches	twitching	twitched
jerk	jerks	jerking	jerked
fibrillate	fibrillates	fibrillating	fibrillated
act	acts	acting	acted
behave	behaves	behaving	behaved
do	does	doing	did	done	don't	doesn't	didn't
presume	presumes	presuming	presumed
vulgarize	vulgarizes	vulgarizing	vulgarized
vulgarise	vulgarises	vulgarising	vulgarised
optimize	optimizes	optimizing	optimized
optimise	optimises	optimising	optimised
quack	quacks	quacking	quacked
menace	menaces	menacing	menaced
make	makes	making	made
swagger	swaggers	swaggering	swaggered
bluster	blusters	blustering	blustered
swash	swashes	swashing	swashed
freeze	freezes	freezing	froze	frozen
wanton	wantons	wantoning	wantoned
romanticize	romanticizes	romanticizing	romanticized
sentimentalise	sentimentalises	sentimentalising	sentimentalised
sentimentalize	sentimentalizes	sentimentalizing	sentimentalized
sentimentize	sentimentizes	sentimentizing	sentimentized
sentimentise	sentimentises	sentimentising	sentimentised
bungle	bungles	bungling	bungled
play	plays	playing	played
toy	toys	toying	toyed
stooge	stooges	stooging	stooged
shake	shakes	shaking	shook	shaken
didder	didders	didderring	didderred
shiver	shivers	shivering	shivered
